CARID,Name,Predicted Spill Frequency / Year,Predicted Spill Volume / Year (m3),Storm Overflow Classification,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description,Monitored,2023 Spill Count,2023 Spill Duration (hrs),2024 Spill count,2024 Spill duration (hrs),2024 Percent Availability,Commentary
SP002022911,Ballycastle IPS,,,To be Determined,UKGBNI1NE040403033,Tow River,312158,440886,312158 440886,Discharge Point Coordinates,,,,,,,
SP002022911,Ballycastle IPS,,,To be Determined,UKGBNI1NE040403033,Tow River,312183,440889,312183 440889,Discharge Point Coordinates,,,,,,,
SP002984327,Belfast Tunnel TPS,12,599134,Satisfactory,GBNI8NE023,Lagan,335250,376774,335250 376774,Discharge Point Coordinates,,,,,,,
SP002021944,Pennyburn WwPS,141,317193,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,244419,418612,244419 418612,Discharge Point Coordinates,,,,,,,
CO000984320,Gilnahirk Road CSO,75,73358,Unsatisfactory,UKGBNI1NE050503087,Connswater,338780,373353,338780 373353,Discharge Point Coordinates,,,,,,,
SP002022818,Blackcave WwPS,34,60178,Unsatisfactory,GBNI8NE058,Glens and Rathlin,339798,405358,339798 405358,Discharge Point Coordinates,,,,,,,
SP003182863,Victoria Market Car Park WwPS,74,59916,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243621,417038,243621 417038,Discharge Point Coordinates,,,,,,,
SP002021740,Markethill FEPS,119,49286,Unsatisfactory,UKGBNI1NB030308119,Markethill River,299648,340463,299648 340463,Discharge Point Coordinates,,,,,,,
SP002022229,Warren Road One WwPS,95,35875,Unsatisfactory,GBNI8NE026,Belfast Lough,357866,381435,357866 381435,Discharge Point Coordinates,,,,,,,
CO000984667,Blackarch East CSO,16,3820,Unsatisfactory,GBNI8NE058,Glens and Rathlin,339798,405358,339798 405358,Discharge Point Coordinates,,,,,,,
CO000984423,Bath Street CSO,54,2823,Unsatisfactory,UKGBNI6NE190,Dundrum Bay Outer,356878,337543,356878 337543,Discharge Point Coordinates,,,,,,,
CO000984676,Park Street CSO,21,597,Unsatisfactory,UKGBNI1NB030305204,Six Mile Water (Ballyclare),329027,391145,329027 391145,Discharge Point Coordinates,,,,,,,
CO000984146,Roemill Road CSO,3,305,Unsatisfactory,UKGBNI1NW020202018,River Roe (Limavady),266819,422904,266819 422904,Discharge Point Coordinates,,,,,,,
