CARID,Name,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description
WW002063955,Belfast WwTW,UKGBNI6NE180,Belfast Harbour,336099,378418,336099 378418,Discharge Point Coordinates
WW002063378,Ballyquin WwTW,UKGBNI1NW020202018,River Roe (Limavady),268587,418072,268587 418072,Discharge Point Coordinates
WW002063955,Belfast WwTW,UKGBNI6NE180,Belfast Harbour,336101,378417,336101 378417,Discharge Point Coordinates
WW002063511,Cabragh WwTW,UKGBNI1NB030308213,Oona Water (Killymaddy),271549,360354,271549 360354,Discharge Point Coordinates
WW002064194,Carrickfergus WwTW,UKGBNI6NE080,Belfast Lough Outer,343400,388104,343400 388104,Discharge Point Coordinates
WW002064279,Clogh WwTW,UKGBNI1NB030308211,Clogh River,311541,412448,311541 412448,Discharge Point Coordinates
WW002064083,Cranfield WwTW,UKGBNI6NB030,Carlingford Lough,326025,310360,326025 310360,Discharge Point Coordinates
WW002063690,Derryaghna WwTW,UKGBNI1NW363604059,Arney River,218923,338423,218923 338423,Discharge Point Coordinates
WW002063557,Greyabbey WwTW,UKGBNI6NE140,Strangford Lough North,357654,367694,357654 367694,Discharge Point Coordinates
WW002063849,Kilcoo WwTW,UKGBNI1NB030308100,Upper River Bann (Ballycoshone),323226,333116,323226 333116,Discharge Point Coordinates
WW002064506,Kilrea WwTW,UKGBNI1NB030301149,Lower River Bann (Kilrea),293229,413391,293229 413391,Discharge Point Coordinates
WW002064012,Locard Park WwTW,Undefined,Undefined,307912,348407,307912 348407,Coordinates of Asset (Discharge Point Unavailable)
WW002064334,Magherafelt WwTW,UKGBNI1NB030303144,Magherafelt Burn,292084,391488,292084 391488,Discharge Point Coordinates
WW002064185,Newtownards Ballyrickard WwTW,GBNI8NE034,Strangford,348902,370430,348902 370430,Discharge Point Coordinates
WW002063942,Newtownhamilton WwTW,UKGBNI1NB060608235,Cully Water,297806,315412,297806 315412,Discharge Point Coordinates
WW002063569,Seahill WwTW,UKGBNI6NE090,Belfast Lough Inner,344246,382901,344246 382901,Discharge Point Coordinates
WW002064176,Station Road 155-157 ST,UKGBNI1NE050504081,Ballystockart River,341049,366848,341049 366848,Discharge Point Coordinates
WW002064102,Stewartstown WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,286241,370733,286241 370733,Discharge Point Coordinates
WW002064273,Straid Ballymena WwTW,UKGBNI1NB030302160,River Main (Slaght),307477,398442,307477 398442,Discharge Point Coordinates
WW002063526,Tamnamore WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,288071,360976,288071 360976,Discharge Point Coordinates
WW002063833,Abbacy Road WwTW,GBNI8NE031,Strangford,359696,355667,359696 355667,Discharge Point Coordinates
WW002063998,Acton WwTW,UKGBNI1NB060604048,Newry Canal,305902,341187,305902 341187,Discharge Point Coordinates
WW002063675,Aghadrumsee WwTW,UKGBNI1NW363604066,Lacky River,248379,331391,248379 331391,Discharge Point Coordinates
WW002063995,Aghagallon WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,310914,364158,310914 364158,Discharge Point Coordinates
WW002063990,Aghalee WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,312249,365343,312249 365343,Discharge Point Coordinates
WW002063410,Aghanloo 1 WwTW,UKGBNI1NW020202024,River Roe (Ballycarton),266973,426720,266973 426720,Discharge Point Coordinates
